"","ID","Name","Type","rConc","Name.1","Type.1","Value","Quality","Call","Threshold","In.Range","Out.Range","Peak.Ratio","X","X.1","Comments","PanelNumber","PlateName"
"5356","S34-A75","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"CSF1R","Test",15.4622893848256,1,"Pass",0.021487681662316,81.9831227886843,65.7687400807762,0.882183565452848,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5357","S34-A74","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"CD83","Test",999,0,"Flag",0.021487681662316,999,999,0,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5358","S34-A73","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"CD14","Test",10.1158123342766,1,"Pass",0.021487681662316,82.4074398389054,65.8984673991019,0.921213328367695,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5359","S34-A84","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"WNT4","Test",13.541196626131,0,"Flag",0.021487681662316,999,83.8322695651105,0,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5360","S34-A83","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"TLR7","Test",16.1852750288574,1,"Pass",0.021487681662316,80.662503786196,67.228952176489,0.85007558243944,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5361","S34-A82","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"SPP1","Test",5.0188691409455,1,"Pass",0.021487681662316,79.403036522626,65.7887639800532,0.91343313507886,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5362","S34-A81","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"PDPN","Test",14.5936562463088,1,"Pass",0.021487681662316,82.8887396365144,65.620595733749,0.921039799179098,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5363","S34-A80","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"MMP2","Test",999,0,"Flag",0.021487681662316,999,999,0,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5364","S34-A79","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"ITGAX","Test",17.8176584747741,0,"Flag",0.021487681662316,999,83.2328292927411,0,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5365","S34-A90","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"IGF1","Test",11.396819476336,1,"Pass",0.021487681662316,82.2074220623769,65.6420164145468,0.927950895048953,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5366","S34-A89","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"H2-AA","Test",8.48119848162949,1,"Pass",0.021487681662316,83.8047077912185,65.7689170461733,0.934324815499105,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5367","S34-A88","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"FGFR1","Test",13.7181214140609,1,"Pass",0.021487681662316,79.9585523405479,66.0304757258776,0.87149350656832,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5368","S34-A87","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"CSF2RA","Test",15.562294847939,1,"Pass",0.021487681662316,85.2405096075888,65.8744234503888,0.886278070039903,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5369","S34-A86","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"CD86","Test",999,0,"Flag",0.021487681662316,999,999,0,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5370","S34-A85","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"CD24A","Test",8.75554055970725,1,"Pass",0.021487681662316,88.8011689539183,65.7939202109448,0.874525633329466,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5371","S34-A96","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"ZAP70","Test",999,0,"Flag",0.021487681662316,999,999,0,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5372","S34-A95","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"TLR9","Test",999,0,"Flag",0.021487681662316,999,999,0,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5373","S34-A94","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"SST","Test",17.6437770918146,0,"Flag",0.021487681662316,999,83.4085181971163,0,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5374","S34-A93","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"PECAM1","Test",999,0,"Flag",0.021487681662316,999,999,0,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5375","S34-A92","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"MMP3","Test",999,0,"Flag",0.021487681662316,999,999,0,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5376","S34-A91","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10","Unknown",1,"ITGB1","Test",11.0101352529851,1,"Pass",0.021487681662316,81.698114740083,65.7372225352047,0.921914838522729,NA,NA,"","CellID","FR_RNA_T1D_MS_20251103_P1"
"5377","S35-A01","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"BCL6","Test",999,0,"Flag",0.023073164,999,999,0,NA,"BCL6","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5378","S35-A02","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CD4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CD4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5379","S35-A03","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"GATA4","Test",28.96069795,0,"Flag",0.023073164,83.2091358,999,1,NA,"GATA4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5380","S35-A04","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL17A","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL17A","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5381","S35-A05","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5382","S35-A06","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"PPARA","Test",999,0,"Flag",0.023073164,999,999,0,NA,"PPARA","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5383","S35-A07","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"AIM2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"AIM2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5384","S35-A08","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CXCR3","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CXCR3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5385","S35-A09","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IFNGR1","Test",16.56347351,1,"Pass",0.023073164,77.41927707,999,1,NA,"IFNGR1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5386","S35-A10","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"ISG15","Test",15.91533464,1,"Pass",0.023073164,81.92431539,63.46644864,0.982811058,NA,"ISG15","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5387","S35-A11","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"OAS1B","Test",999,0,"Flag",0.023073164,999,999,0,NA,"OAS1B","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5388","S35-A12","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"STAT4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"STAT4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5389","S35-A13","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CCR2","Test",14.89838439,1,"Pass",0.023073164,77.07272976,999,1,NA,"CCR2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5390","S35-A14","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CD40","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CD40","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5391","S35-A15","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"GSK3A","Test",12.89272454,1,"Pass",0.023073164,79.87671624,999,1,NA,"GSK3A","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5392","S35-A16","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL1R2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL1R2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5393","S35-A17","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL4RA","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL4RA","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5394","S35-A18","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"PPARG","Test",16.44892627,1,"Pass",0.023073164,77.89200948,64.72073525,0.944178824,NA,"PPARG","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5395","S35-A19","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"BCL2","Test",19.07066591,1,"Pass",0.023073164,82.76723204,999,1,NA,"BCL2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5396","S35-A20","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CXCR4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CXCR4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5397","S35-A21","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL12RB","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL12RB","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5398","S35-A22","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"JAK1","Test",12.52567607,1,"Pass",0.023073164,82.5484366,999,1,NA,"JAK1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5399","S35-A23","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"OAS2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"OAS2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5400","S35-A24","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"STAT5","Test",18.25411271,1,"Pass",0.023073164,85.00447275,999,1,NA,"STAT5","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5401","S35-A25","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CCR3","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CCR3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5402","S35-A26","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CD80","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CD80","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5403","S35-A27","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"GSK3B","Test",14.23227323,1,"Pass",0.023073164,78.82144077,999,1,NA,"GSK3B","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5404","S35-A28","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5405","S35-A29","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL5","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL5","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5406","S35-A30","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"PPARGC1A","Test",17.02565255,1,"Pass",0.023073164,78.45050739,66.04587684,0.970780323,NA,"PPARGC1A","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5407","S35-A31","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CCR1","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CCR1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5408","S35-A32","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"FYN","Test",999,0,"Flag",0.023073164,999,999,0,NA,"FYN","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5409","S35-A33","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL18R1","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL18R1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5410","S35-A34","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"JAK2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"JAK2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5411","S35-A35","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"OASL1","Test",25.05730183,0,"Flag",0.023073164,999,72.07150467,0,NA,"OASL1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5412","S35-A36","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"TGFBR2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"TGFBR2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5413","S35-A37","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CCR4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CCR4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5414","S35-A38","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CD86","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CD86","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5415","S35-A39","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"HPRT","Test",13.50865078,1,"Pass",0.023073164,80.05468877,999,1,NA,"HPRT","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5416","S35-A40","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL-21","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL-21","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5417","S35-A41","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL5RA","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL5RA","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5418","S35-A42","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"PTEN","Test",12.80932956,1,"Pass",0.023073164,78.003395,999,1,NA,"PTEN","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5419","S35-A43","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CCR7","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CCR7","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5420","S35-A44","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"ICOS","Test",999,0,"Flag",0.023073164,999,999,0,NA,"ICOS","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5421","S35-A45","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL27R","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL27R","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5422","S35-A46","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"LY6E","Test",12.78423057,1,"Pass",0.023073164,80.28796973,85.4481658,0.917559018,NA,"LY6E","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5423","S35-A47","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"PD1","Test",999,0,"Flag",0.023073164,999,999,0,NA,"PD1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5424","S35-A48","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"TNFAIP3","Test",999,0,"Flag",0.023073164,999,999,0,NA,"TNFAIP3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5425","S35-A54","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"TBX21","Test",999,0,"Flag",0.023073164,999,999,0,NA,"TBX21","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5426","S35-A53","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL6","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL6","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5427","S35-A52","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL25","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL25","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5428","S35-A51","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"ICAM1","Test",999,0,"Flag",0.023073164,999,999,0,NA,"ICAM1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5429","S35-A50","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CD8A","Test",19.11865248,0,"Flag",0.023073164,85.42723306,75.05779031,0.263672501,NA,"CD8A","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5430","S35-A49","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CCR5","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CCR5","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5431","S35-A60","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"TRAF2","Test",15.90547156,1,"Pass",0.023073164,80.63481188,999,1,NA,"TRAF2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5432","S35-A59","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"RSAD2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"RSAD2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5433","S35-A58","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"MAP2K6","Test",999,0,"Flag",0.023073164,999,999,0,NA,"MAP2K6","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5434","S35-A57","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IRF1","Test",15.74206309,1,"Pass",0.023073164,81.07097067,999,1,NA,"IRF1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5435","S35-A56","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IFI44","Test",15.62919969,1,"Pass",0.023073164,78.80904178,67.47626934,0.908419304,NA,"IFI44","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5436","S35-A55","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"PDL-1","Test",999,0,"Flag",0.023073164,999,999,0,NA,"PDL-1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5437","S35-A66","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"TNF","Test",999,0,"Flag",0.023073164,999,999,0,NA,"TNF","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5438","S35-A65","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL7","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL7","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5439","S35-A64","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL27","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL27","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5440","S35-A63","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IFNG","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IFNG","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5441","S35-A62","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CTLA4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CTLA4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5442","S35-A61","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CCR6","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CCR6","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5443","S35-A72","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"VAV1","Test",16.40252326,0,"Flag",0.023073164,999,85.06258668,0,NA,"VAV1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5444","S35-A71","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"SOCS3","Test",19.06387859,1,"Pass",0.023073164,88.14166459,999,1,NA,"SOCS3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5445","S35-A70","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"MAPK8","Test",999,0,"Flag",0.023073164,999,999,0,NA,"MAPK8","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5446","S35-A69","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IRF2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IRF2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5447","S35-A68","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IFI44L","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IFI44L","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5448","S35-A67","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CD44","Test",24.63273852,0,"Flag",0.023073164,999,73.95381869,0,NA,"CD44","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5449","S35-A78","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"TNFRSF1A","Test",17.24526526,1,"Pass",0.023073164,79.81616125,86.02994388,0.969461625,NA,"TNFRSF1A","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5450","S35-A77","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL7R","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL7R","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5451","S35-A76","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL2RA","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL2RA","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5452","S35-A75","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"IL10","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL10","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5453","S35-A74","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"FOXP3","Test",999,0,"Flag",0.023073164,999,999,0,NA,"FOXP3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5454","S35-A73","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_35_IS_doublet_none_C11","Unknown",1,"CD28","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CD28","","Panel1","FR_RNA_T1D_MS_20251103_P1"
